	shannon
A57T1RS1	10.074256128996657
A57T1RS2	9.989632141024948
A57T1RS3	9.965920109378034
A57T2CRS1	9.802382739136247
A57T2CRS2	10.682986027045423
A57T2CRS3	9.97377017667961
A57T2RS1	5.895514572407725
A57T2RS2	4.911491194953309
A57T2RS3	4.398496496941795
A57T3CRS1	8.550714069617424
A57T3CRS2	10.415510442068959
A57T3CRS3	10.374087360061091
A57T3RS1	6.167678170092991
A57T3RS2	4.0752204266576335
A57T3RS3	6.757977122913424
HF12T1RS1	10.79428582590286
HF12T1RS2	10.240719731290378
HF12T1RS3	10.502070529991787
HF12T2CRS1	10.60140623133334
HF12T2CRS2	10.428409448777488
HF12T2CRS3	9.668879560643143
HF12T2RS1	8.38197594147388
HF12T2RS2	8.58813383519292
HF12T2RS3	9.048346858089197
HF12T3CRS1	10.009001142966273
HF12T3CRS2	10.04415171027937
HF12T3CRS3	9.414947589263232
HF12T3RS1	7.087842929630042
HF12T3RS2	9.483382138151375
HF12T3RS3	6.686617777960097
HG64T1RS1	10.328882064844917
HG64T1RS2	10.01086208518909
HG64T1RS3	9.846175153517965
HG64T2CRS1	10.522419161783493
HG64T2CRS2	10.241215177499484
HG64T2CRS3	10.152271693623302
HG64T2RS1	4.149404601806223
HG64T2RS2	6.921872495593984
HG64T2RS3	7.781392700696169
HG64T3CRS1	10.18674007337845
HG64T3CRS2	9.81152572988071
HG64T3CRS3	10.15186523570766
HG64T3RS1	7.576107288082157
HG64T3RS2	7.589469314287269
HG64T3RS3	7.9953181596809495
HG70T1RS1	10.220930036699047
HG70T1RS2	10.100511283580232
HG70T1RS3	10.23478584040912
HG70T2CRS1	9.908929510114119
HG70T2CRS2	10.403505358730756
HG70T2CRS3	10.011371903333613
HG70T2RS1	8.345759104587755
HG70T2RS2	7.163981870194916
HG70T2RS3	4.819889367654064
HG70T3CRS1	9.511154749646337
HG70T3CRS2	10.432575129023881
HG70T3CRS3	9.846027328675184
HG70T3RS1	5.934068880389348
HG70T3RS2	4.03438418202087
HG70T3RS3	5.1376998498859505
