A57T1RS1	A57T1RS2	A57T1RS3	A57T2CRS1	A57T2CRS2	A57T2CRS3	A57T2RS1	A57T2RS2	A57T2RS3	A57T3CRS1	A57T3CRS2	A57T3CRS3	A57T3RS1	A57T3RS2	A57T3RS3	HF12T1RS1	HF12T1RS2	HF12T1RS3	HF12T2CRS1	HF12T2CRS2	HF12T2CRS3	HF12T2RS1	HF12T2RS2	HF12T2RS3	HF12T3CRS1	HF12T3CRS2	HF12T3CRS3	HF12T3RS1	HF12T3RS2	HF12T3RS3	HG64T1RS1	HG64T1RS2	HG64T1RS3	HG64T2CRS1	HG64T2CRS2	HG64T2CRS3	HG64T2RS1	HG64T2RS2	HG64T2RS3	HG64T3CRS1	HG64T3CRS2	HG64T3CRS3	HG64T3RS1	HG64T3RS2	HG64T3RS3	HG70T1RS1	HG70T1RS2	HG70T1RS3	HG70T2CRS1	HG70T2CRS2	HG70T2CRS3	HG70T2RS1	HG70T2RS2	HG70T2RS3	HG70T3CRS1	HG70T3CRS2	HG70T3CRS3	HG70T3RS1	HG70T3RS2	HG70T3RS3
A57T1RS1	0.0	0.14931590385418944	0.13234070318747626	0.27302914743052187	0.24227648157675144	0.18929652250991003	0.4553365596534963	0.516331883998603	0.5454251376072909	0.362269807229344	0.27418657464742024	0.2787789769048533	0.42246723421356747	0.5669601155348762	0.4231573819485583	0.30366395228701903	0.3317061782414715	0.34121236719359765	0.33029032373144596	0.27598870746002435	0.2302759245862103	0.40203535545018865	0.34227176441344115	0.379402246480876	0.32053361771786326	0.30037035453302224	0.39353396688504466	0.4492309361758951	0.3148564648908335	0.45434343910386615	0.3580658373238308	0.3611921046223847	0.267545442815515	0.26134597762810624	0.2652596268818329	0.3762311777316063	0.5499735666743533	0.41713706999830735	0.39191736813384603	0.3383175454995077	0.3596671284480369	0.34942335180415995	0.3911948835331777	0.3913233844550176	0.34821039670451664	0.27450451556425554	0.12409537278656906	0.2737500679256959	0.3247476821389808	0.2612414634821048	0.30068370830333874	0.3259773255533103	0.41608811954613223	0.5253206611951017	0.3542770843305708	0.2909908084755068	0.3301418038235298	0.4697907904322496	0.5577104800451745	0.4835617366553836
A57T1RS2	0.14931590385418944	0.0	0.16339295557676586	0.2767987006906354	0.2152130678227398	0.15464831049227357	0.4301578940484827	0.5015208571745234	0.5312348717811926	0.29916658620474934	0.2277285465646625	0.24571204302213437	0.4071652535796803	0.5510408573489716	0.39426005399342157	0.2976737549591749	0.24527073792550158	0.2868765184476506	0.2768454137982615	0.2385690258730905	0.21305851499665585	0.33787051251984945	0.3095566846459724	0.32168353563325136	0.23407625816948832	0.21167819046942474	0.29189894551515694	0.37379571768127323	0.25879303337912024	0.37607669222704676	0.2950284515517748	0.28476626429122204	0.18957013967030154	0.23330304523804035	0.21567094096632955	0.30549325036331304	0.5282689788675466	0.3560993511472688	0.3265677420299978	0.26994061893314075	0.25248840819825435	0.2788319642218441	0.31814715211078143	0.3387758602697014	0.2866553204357465	0.256418848899537	0.18193475537812054	0.2303580646344368	0.22602735792839793	0.22616281504593902	0.22489607203772313	0.28740011456308384	0.359939551541337	0.513408702894907	0.3072551627934088	0.22592935791148805	0.2672389435329087	0.4357312897999134	0.5295384117719136	0.4632200738169262
A57T1RS3	0.13234070318747626	0.16339295557676586	0.0	0.2883018784548731	0.24119230235934114	0.227809590333129	0.45741375352009717	0.528557991987557	0.5545656088360148	0.3343750343110577	0.2835997031577113	0.2806046613890252	0.4291357415266279	0.5728389307372124	0.4117083663308359	0.2842794731373426	0.3376884281757106	0.32664936276772194	0.3027615922339599	0.26642075228987033	0.20124449333239083	0.38452924361829977	0.3140947470096103	0.3549688655006761	0.32734605207064305	0.3047029786310001	0.39098739681354666	0.45802439791745264	0.2956685250712712	0.46264714686200403	0.34687307165741155	0.3646769940870692	0.27854421828741976	0.2686872758656061	0.28357449478202795	0.3499454072628599	0.55824897544949	0.402891052399125	0.37678847262907894	0.3175008247333718	0.34680992549391976	0.3210692202245863	0.38851538877951464	0.4090541532095186	0.3477686388082861	0.27781723076454	0.16780525124835402	0.2670671414973076	0.31173923961598415	0.2966061365213727	0.30443005961279557	0.31626774150741005	0.40542482228306126	0.5278476320598183	0.3617752371950191	0.29369150980833336	0.3368539572295073	0.4572947104465365	0.5594641098385172	0.49053592959002484
A57T2CRS1	0.27302914743052187	0.2767987006906354	0.2883018784548731	0.0	0.19803383359521676	0.27631114149872454	0.4105252526465121	0.4864310595400312	0.5192033376514579	0.3182325263648377	0.24478985163263262	0.23712896054001678	0.3903843052075941	0.5424619518121436	0.3848332124608154	0.24595046263427628	0.29421263897160105	0.2943787919667833	0.27924638284230385	0.20979137918406598	0.36953882986773046	0.3481558945067377	0.2679365164036796	0.32399057500235284	0.23432201957648296	0.23399044358395557	0.33143338512505455	0.40863227078998016	0.25583621759394354	0.4142864927270919	0.31135430052032353	0.3286014256173512	0.36481195836789954	0.21883405329982322	0.2107030540541052	0.31575265142252007	0.5197217889933549	0.3628016931655698	0.33312633044787443	0.28912901181826556	0.31410472208367407	0.29358571884962215	0.3342373868912037	0.3155411088464896	0.2971840208304473	0.14148217970893978	0.2526593971027486	0.17956295762752925	0.26988415919892655	0.22438519633834578	0.25659673495002355	0.2808337225969595	0.36712291301431066	0.4537287788701246	0.23489426751484854	0.2158674302202069	0.2603076402234286	0.42081570923798534	0.5293146129194838	0.4510422143283042
A57T2CRS2	0.24227648157675144	0.2152130678227398	0.24119230235934114	0.19803383359521676	0.0	0.2364182493150518	0.40026145918683487	0.4782458932088758	0.5147285107993108	0.24151688918156602	0.17718206319514598	0.1757269096255058	0.38183144475520897	0.5351499441205685	0.3552000855330827	0.1761034411153105	0.19129086148396776	0.17901475988522056	0.15022823176463654	0.15010976880992452	0.2888758993365161	0.28643958622206156	0.235723095572963	0.23328600693569956	0.19869449795347985	0.15805635091114006	0.2806137590873872	0.39242322284393083	0.16623487364996833	0.392773218554211	0.21438334513439192	0.2292891716664088	0.2756100552086452	0.12121486059868469	0.15017572172113167	0.20771177950361622	0.5130485388181887	0.3180815264098873	0.28249231031078575	0.15907790997557422	0.21056246180064872	0.1856254038473153	0.3031924746500129	0.34136716628168035	0.26494674345727376	0.16313149933873414	0.25271615104017653	0.16033818325513227	0.18733822018359436	0.1610850579818981	0.1801102721330919	0.24281909623588332	0.32964409570945463	0.4933624947758891	0.2780523430884183	0.1745881374122852	0.2482317956232209	0.41751821510393416	0.5141583048640924	0.4439674875162941
A57T2CRS3	0.18929652250991003	0.15464831049227357	0.227809590333129	0.27631114149872454	0.2364182493150518	0.0	0.43523499732068643	0.5042898600592686	0.5386335702078185	0.33487653146275015	0.23957309941709856	0.23733906369516797	0.4107046125388186	0.559027863538677	0.395148638219092	0.33265790564315906	0.2507535116987571	0.3218906134944438	0.3114989531681255	0.25554921640149814	0.3069492883343257	0.3702115561711846	0.3356110437272348	0.35644199047320757	0.25934109180512654	0.2536003852971165	0.2738719316171303	0.3377344426697743	0.2913372977909558	0.38807415774788917	0.3375362490894218	0.2943962640369358	0.2520097142559288	0.2625301817850755	0.22324500370226127	0.33905065066395285	0.5385866670214328	0.3835458439852664	0.3558556850399824	0.30189288449411383	0.24935271464330952	0.3261706637729846	0.33756877757590986	0.34371289922621623	0.3089842938236189	0.2867472828839069	0.2063909549389152	0.27417718309591516	0.2156102729544588	0.15206167922662794	0.20139034037310055	0.2970281898799475	0.38020490574834553	0.5220960263697184	0.33347940848411245	0.2565353707020343	0.29053962378385506	0.44669143955212587	0.5382879781316255	0.4723199064826185
A57T2RS1	0.4553365596534963	0.4301578940484827	0.45741375352009717	0.4105252526465121	0.40026145918683487	0.43523499732068643	0.0	0.1282455434093185	0.1324782743812288	0.22037242427247486	0.4397131926602589	0.44282251004902573	0.07986428884334311	0.17163999577925898	0.12315143611274171	0.44765980628572116	0.44261631823425146	0.4341201956904914	0.42265922395293504	0.4281702396173759	0.46381226197446823	0.243696622630808	0.2459304276203231	0.2679191012120616	0.42325149493308967	0.4133919166702693	0.4655921618523053	0.2123099992513368	0.2987315910953719	0.17679232834506683	0.44570457310432093	0.4628102282906785	0.47432621513214257	0.4214119814361536	0.4282707693540114	0.4201819475028302	0.14953128570768479	0.15145851262957932	0.19305775256652252	0.4222500702491695	0.43859066496779636	0.4310990203248421	0.17211257595851176	0.21582764089811254	0.20063824230923386	0.41052637628086347	0.46853427468320363	0.41267643010338634	0.4179353963406564	0.4295467418292432	0.4396098676464204	0.19765126205157182	0.13149715966830577	0.12481373028631744	0.44773291285010913	0.4396823712956414	0.46577802950073544	0.10712149420437793	0.14874319875259087	0.08282735196723764
A57T2RS2	0.516331883998603	0.5015208571745234	0.528557991987557	0.4864310595400312	0.4782458932088758	0.5042898600592686	0.1282455434093185	0.0	0.09446993128335389	0.30629155950121695	0.5127637361119141	0.521891679312028	0.16329336600662392	0.12227534512154861	0.20161212095775208	0.5210557608927271	0.522664088684439	0.5131467970376076	0.5186167926535271	0.5080850638984747	0.5327265804017371	0.33196463155568845	0.3254792757177138	0.34753864775463494	0.49282258237754367	0.4913388734667756	0.5371645265127017	0.2896229881109313	0.3847445998829813	0.23346863396792242	0.5231484933318439	0.5418162559619937	0.5435736672566105	0.4975035727300309	0.5066414286898469	0.5004094673531775	0.11415963730333789	0.2387875784216458	0.28250684128429165	0.5102072379379748	0.5341683756324793	0.498862152857711	0.264051922635463	0.27127868065442445	0.28901149175849905	0.4876776726739198	0.5276177795235046	0.48376457639655873	0.5003068445058751	0.5085231819540509	0.5214365092471974	0.28549979171953926	0.21022574589403256	0.10175119871919307	0.5133019886778603	0.5108097549734842	0.539511922709927	0.13867356764075606	0.08800042529992831	0.08797437713340667
A57T2RS3	0.5454251376072909	0.5312348717811926	0.5545656088360148	0.5192033376514579	0.5147285107993108	0.5386335702078185	0.1324782743812288	0.09446993128335389	0.0	0.316353595148331	0.5559515861758602	0.5575822056569596	0.1577967955290449	0.09468353604883964	0.20174903605506234	0.5402802486105556	0.5443631214741763	0.5282917908221693	0.5334381736074525	0.5409080324125941	0.5376566355029504	0.32306100287752165	0.3417847679571938	0.34646708051091607	0.5323110924875544	0.5268589219327541	0.5669173793147984	0.3049476809524205	0.4103700228304285	0.25168911095809143	0.5323283839952957	0.5489723063029771	0.5420814961434782	0.5279790137474377	0.5375466173334595	0.49748698246907513	0.05274811015276464	0.23315827481359117	0.27987494311396255	0.5282155563071661	0.5434246440350661	0.5252355956354416	0.2652841531730337	0.30834507725497645	0.3062192820211031	0.5192962827437196	0.5604898042104284	0.52226278057476	0.5302267468756782	0.5425750821597305	0.554568835880301	0.30415016508270654	0.21783156901572975	0.09586480023752363	0.55727842290076	0.5516069585887238	0.578565301663534	0.16426450899276382	0.05965866287972496	0.09679397147640881
A57T3CRS1	0.362269807229344	0.29916658620474934	0.3343750343110577	0.3182325263648377	0.24151688918156602	0.33487653146275015	0.22037242427247486	0.30629155950121695	0.316353595148331	0.0	0.28539950673349535	0.29282558022733474	0.2033848466473117	0.34285639533044565	0.17306278238319392	0.2908801525916339	0.29508835194793653	0.28567556951496703	0.2642353889370387	0.291470084524378	0.3306138912739679	0.13985381660424503	0.1286176664498977	0.117378217336402	0.29045504213503526	0.26040032461132434	0.3451812903036388	0.23346291852780054	0.15977663844274492	0.22053785123108022	0.306065132634321	0.32670881821803877	0.34089618776869546	0.27746157914618425	0.29707892535400626	0.25992079764870896	0.3184223577699464	0.1633466566972688	0.12496763420848112	0.26516621355471415	0.2804364444249766	0.25508504459478676	0.13870892142021218	0.21538831644820797	0.1295851872569875	0.27604169127209066	0.37043612553000704	0.267415432092302	0.26424525273874067	0.2996822390584054	0.30118337079307955	0.10804697340169409	0.14180456493437757	0.31350580590667043	0.3352132083876773	0.28620419014948867	0.3276137480226903	0.22746356094026918	0.31960491847986894	0.2634570106744929
A57T3CRS2	0.27418657464742024	0.2277285465646625	0.2835997031577113	0.24478985163263262	0.17718206319514598	0.23957309941709856	0.4397131926602589	0.5127637361119141	0.5559515861758602	0.28539950673349535	0.0	0.10369738349323818	0.424441859597883	0.5743123042326226	0.3901547927078585	0.2445615299970715	0.2324658595040353	0.26243413761894696	0.2477186239703488	0.20468737161734196	0.3553701882795297	0.34424264380682207	0.2894908745921458	0.3195071098941253	0.1916547548673422	0.18219318245298669	0.2075180790308761	0.39361008408537324	0.24426604406068764	0.34804239711333695	0.2799568996308334	0.290010905716794	0.3249981940990753	0.20040539167065008	0.19804790670480402	0.3012301976422488	0.5539128014955704	0.3639074744183797	0.3341080524452129	0.239755490553009	0.21523177150430078	0.247755630830172	0.33279222909443873	0.3382277656800982	0.2893507493012273	0.22227608971985136	0.2764152537228555	0.1880823109305258	0.17873786236964934	0.19290396553872513	0.18978017415234497	0.2831310112952595	0.3575867331756042	0.5298671068338311	0.1847852204164912	0.14713112176213847	0.15354824016726462	0.42436302789139846	0.5514479480149762	0.48230748285652847
A57T3CRS3	0.2787789769048533	0.24571204302213437	0.2806046613890252	0.23712896054001678	0.1757269096255058	0.23733906369516797	0.44282251004902573	0.521891679312028	0.5575822056569596	0.29282558022733474	0.10369738349323818	0.0	0.4298167714903146	0.5816971190002137	0.39595701013863716	0.2342132555111193	0.2547286898076179	0.2684857865546816	0.23512777748213035	0.18390584115524997	0.36688750788194674	0.3486314979319686	0.2771785773210749	0.3203959986859344	0.19314333926013744	0.17593768767467646	0.21129060381551193	0.4005358824302631	0.25479349035041937	0.35424209859677686	0.2924230866788326	0.2951829334154509	0.33558752249841045	0.20986938832564586	0.21764890930618738	0.28247090178576145	0.5579447266653454	0.36156441703636866	0.33742651925959277	0.21425653321796684	0.20789479077452042	0.23611676030177026	0.33591049241542936	0.3589957750957573	0.29186333732235553	0.2303307001287991	0.2603027737930697	0.19694546228272541	0.1757962526256303	0.17814936511141338	0.19543142160034005	0.285283631482179	0.3647948292106013	0.5245771236921057	0.22175458722883232	0.14904722097578432	0.18179906061174708	0.42091461660099483	0.5528637426201934	0.48733137093682066
A57T3RS1	0.42246723421356747	0.4071652535796803	0.4291357415266279	0.3903843052075941	0.38183144475520897	0.4107046125388186	0.07986428884334311	0.16329336600662392	0.1577967955290449	0.2033848466473117	0.424441859597883	0.4298167714903146	0.0	0.18664667507398458	0.09830704723818437	0.4142126247002834	0.4170423103697135	0.41111343269060885	0.40503261718749073	0.4088468380280128	0.43224675884012126	0.22238660263786678	0.22855745462034702	0.24785245122036567	0.4143961560701352	0.4022746827095344	0.4550846586450517	0.2166135363468387	0.2789495452412856	0.18183059768735146	0.4206104999511727	0.4332869497121908	0.4471200560097583	0.39200114104634226	0.4029382327864637	0.3967837097584912	0.16767577408446302	0.13959083312800605	0.1784835833483781	0.405581300746072	0.42209646128539025	0.41240931572986167	0.16704496629835547	0.21062538236207023	0.18679656240172066	0.3884898016274072	0.441178173618208	0.39356463851086243	0.4055843871488671	0.411210630163717	0.42471866472818715	0.17560626146087832	0.12436514566235367	0.15285854962223522	0.4353021753143519	0.4211891432809983	0.4516696581825492	0.12602201972913393	0.18344662928796518	0.10492963675921736
A57T3RS2	0.5669601155348762	0.5510408573489716	0.5728389307372124	0.5424619518121436	0.5351499441205685	0.559027863538677	0.17163999577925898	0.12227534512154861	0.09468353604883964	0.34285639533044565	0.5743123042326226	0.5816971190002137	0.18664667507398458	0.0	0.22660060027499024	0.5444690480781321	0.551559628985352	0.5403429498853967	0.5454341112808387	0.5483881733043754	0.55498636276193	0.3378890130115777	0.3647647003601929	0.3709494220606118	0.5547296300217532	0.5484154183015066	0.5914260857999528	0.3401598060906145	0.4241275868173158	0.28448293520076223	0.5227362587449625	0.5346703100936584	0.5618873973820484	0.5385368078534927	0.5502952680777483	0.5085188870593348	0.11355577707805635	0.26454185040544526	0.31003420649223135	0.5408118478960234	0.5581270695421146	0.5332334331099639	0.30021606701017867	0.3173414837654241	0.3395921924429525	0.5437592528718203	0.5848298878416636	0.5359731905466025	0.5523275832277315	0.5650315397233414	0.5713343266697153	0.3308035957514516	0.254593223011839	0.13348825573713485	0.5796431415957429	0.5753247128302083	0.6000852920194574	0.1899102176412015	0.1046062890840194	0.12547495174968445
A57T3RS3	0.4231573819485583	0.39426005399342157	0.4117083663308359	0.3848332124608154	0.3552000855330827	0.395148638219092	0.12315143611274171	0.20161212095775208	0.20174903605506234	0.17306278238319392	0.3901547927078585	0.39595701013863716	0.09830704723818437	0.22660060027499024	0.0	0.3992258250520612	0.39296684605553756	0.3815400409436585	0.37693961608138343	0.38818314996214687	0.4180433504810578	0.19660239909170776	0.2023099389648986	0.2114530783281901	0.39399337419934033	0.37760953551932075	0.4322183816687554	0.22697420393245363	0.25240370760819736	0.17071954501989633	0.3905413433041356	0.40333783118689803	0.4290507825811948	0.37344778939404677	0.38810288977165913	0.351560304844945	0.20924834439831894	0.10852753728688823	0.1525210644941092	0.3716535118192753	0.38436964288412945	0.3609152150297559	0.1451180381356912	0.2086264403410241	0.16736586689404342	0.3737969317476177	0.4341720626638699	0.3721819525199733	0.37829033784282384	0.3906728374836325	0.398594771400855	0.16549376733784282	0.11003048278069738	0.20512808684441025	0.4158537615448559	0.3990781826362213	0.43639812354867696	0.15633668789884872	0.21546666273875434	0.15905541491707784
HF12T1RS1	0.30366395228701903	0.2976737549591749	0.2842794731373426	0.24595046263427628	0.1761034411153105	0.33265790564315906	0.44765980628572116	0.5210557608927271	0.5402802486105556	0.2908801525916339	0.2445615299970715	0.2342132555111193	0.4142126247002834	0.5444690480781321	0.3992258250520612	0.0	0.21614901547335433	0.19229297187016262	0.17161181314875149	0.18726876670182221	0.3056776974724145	0.30999819344031254	0.24458763745937642	0.2549438170112448	0.25288962653645886	0.2383878440678434	0.3356101912017764	0.4515111246898121	0.2374799109184402	0.4556083858150639	0.23439456901213174	0.25272375446208933	0.2919303900097387	0.16478067591403656	0.2224621455192688	0.22591090952006215	0.5389890150922539	0.3791308720261453	0.3323059512471632	0.21508057415269885	0.2793171971024627	0.2281266157237513	0.3673691461724346	0.38296652802774045	0.3365753983526721	0.20884335854972796	0.28557947535789935	0.20602861913676876	0.2744761411934191	0.2624889114374323	0.27431738602147604	0.30508476232811893	0.38162490858694376	0.5133292906335684	0.3332817483846746	0.2256444057339189	0.30083883860556954	0.4520935129261064	0.5539747011568051	0.4761480448271021
HF12T1RS2	0.3317061782414715	0.24527073792550158	0.3376884281757106	0.29421263897160105	0.19129086148396776	0.2507535116987571	0.44261631823425146	0.522664088684439	0.5443631214741763	0.29508835194793653	0.2324658595040353	0.2547286898076179	0.4170423103697135	0.551559628985352	0.39296684605553756	0.21614901547335433	0.0	0.1426429814296035	0.14537636664955988	0.21327892268070478	0.31338483816869805	0.262111171601429	0.30901988766315375	0.2469345236379078	0.19996885101375547	0.1795343121330438	0.24671283414412126	0.36318848932680625	0.21435316270693755	0.3827295209038197	0.17070998514370486	0.1392131043373156	0.1949049562139488	0.16802815438148552	0.16121822448268824	0.19582314007141652	0.5393980315292464	0.3417040113284917	0.292891029393575	0.17803352614424608	0.16114527022496783	0.2310109185479786	0.31182141750588516	0.339129219080437	0.29155512424720453	0.2465594640989781	0.3413824577104127	0.2368924484519883	0.19199400425636248	0.198367582110274	0.20862215249733307	0.31381575360266695	0.36702350729695016	0.5317481649399948	0.322365593291337	0.20806408581160454	0.27567414364879966	0.4670954614926191	0.5505503781976973	0.4824219269970695
HF12T1RS3	0.34121236719359765	0.2868765184476506	0.32664936276772194	0.2943787919667833	0.17901475988522056	0.3218906134944438	0.4341201956904914	0.5131467970376076	0.5282917908221693	0.28567556951496703	0.26243413761894696	0.2684857865546816	0.41111343269060885	0.5403429498853967	0.3815400409436585	0.19229297187016262	0.1426429814296035	0.0	0.11208870170296636	0.2159865063216335	0.28650582342681113	0.24309235545506816	0.2944012346501352	0.22351070887395125	0.24271669238983407	0.20930920174425874	0.31463455123490036	0.431824912291093	0.20581255846792196	0.41418025077673587	0.12486643734252253	0.18070218933914303	0.2034695292337157	0.16599356651044145	0.22095015130180728	0.1658406712859777	0.5234205042238446	0.32901134358615575	0.2803250235644723	0.16099864270438807	0.22235387843741392	0.22123490320343822	0.3222015623325781	0.38519290746247337	0.3085854176213767	0.23929220619536615	0.3463425234830103	0.2425966211325217	0.253432470839901	0.26706317038606486	0.2760811315782151	0.31870594791131174	0.3657193398264937	0.5172842788153055	0.34891313918556144	0.24890971614550683	0.33139787832309414	0.467015385152967	0.5440498106906327	0.4696872810682803
HF12T2CRS1	0.33029032373144596	0.2768454137982615	0.3027615922339599	0.27924638284230385	0.15022823176463654	0.3114989531681255	0.42265922395293504	0.5186167926535271	0.5334381736074525	0.2642353889370387	0.2477186239703488	0.23512777748213035	0.40503261718749073	0.5454341112808387	0.37693961608138343	0.17161181314875149	0.14537636664955988	0.11208870170296636	0.0	0.19568146930967947	0.28966613874190233	0.2501292373274034	0.26583913093819117	0.21853632206657583	0.23827617452863223	0.19704042538429925	0.306902077340078	0.41826386476596117	0.18783815080532557	0.41435407831406335	0.16639824204191614	0.20088887846790152	0.23010121828286717	0.15683789137243428	0.21726263778442642	0.16182155024997072	0.529273550332714	0.33048503786267486	0.283536381623334	0.12724120537847788	0.2038293938354773	0.19531817501176865	0.32063048719920045	0.3879975648585677	0.29467545343038004	0.22691657879478383	0.32986723980334653	0.22464792603880374	0.23875496878388788	0.2454210391741102	0.25236446887071595	0.29471919417755094	0.35440761183767067	0.5201672366650005	0.3359839923881391	0.22507900848145482	0.31279866948378904	0.4550459299423621	0.5393635559718383	0.47077690113354287
